Age,Age_Er,Ar40_,Ar40_Er,Ar39_,Ar39_Er,Pwr_Achieved,Dur_Heating_At_Req_Pwr,Da2,Da2_err
514.4398,4.326184,0.9520512,0.00061,0.031714,0.0000521,487.2,2997.1,4.67E-10,6.57E-13
497.7674,1.96081,1.42626,0.00034,0.0572353,0.0000411,520.8,2997,3.21E-09,2.29E-11
504.5527,1.321338,0.9205474,0.00031,0.0376696,0.0000401,520.6,2996.6,3.77E-09,2.30E-11
462.631,0.4801546,5.396322,0.0013,0.2415651,0.0000872,578.9,2997.1,5.55E-08,3.98E-11
464.5485,3.191597,0.3781917,0.00019,0.0164528,0.0000361,520.8,2997,5.75E-09,4.32E-11
457.9958,0.4983362,9.523823,0.0021,0.4346004,0.0002305,628.1,1997,3.89E-07,1.89E-10
493.4274,0.4451884,18.30459,0.0036,0.7678287,0.0001703,678.2,1996.5,1.47E-06,2.02E-10
519.7246,0.4759585,11.09832,0.0031,0.4388085,0.0000972,678.1,1996.5,1.35E-06,1.37E-10
532.8075,0.4597501,39.99912,0.0054,1.536065,0.0002004,781.1,997,1.71E-05,1.34E-10
589.4673,0.5240573,18.64115,0.0042,0.6353258,0.0001403,781.1,996.9,1.16E-05,3.44E-10
627.9675,0.6608615,6.949564,0.0015,0.2191979,0.0000882,755.2,997,4.85E-06,3.42E-10
612.8783,3.201229,0.8126055,0.00025,0.0256557,0.0000451,678.3,997,6.00E-07,1.02E-10
586.9395,9.428705,0.184993,0.00016,0.0060847,0.0000261,628.1,996.9,1.43E-07,4.61E-11
615.0037,17.40648,0.178802,0.00017,0.0055785,0.000025,628,997,1.32E-07,2.14E-11
641.2346,1.133292,1.610794,0.00041,0.0497219,0.0000451,703.4,997,1.19E-06,3.87E-11
646.6568,1.610098,1.456509,0.00035,0.0437495,0.0000371,703.3,996.9,1.07E-06,6.61E-11
699.7996,0.6801741,6.063973,0.0012,0.1687505,0.0000812,767.9,1001,4.30E-06,8.06E-11
725.3086,0.7617303,5.002467,0.00091,0.1328452,0.0000481,768.1,997,3.64E-06,9.81E-11
661.1138,0.6287104,6.492932,0.0014,0.1931944,0.0000571,821.2,497,1.15E-05,2.67E-10
732.8274,0.7441455,5.738768,0.0017,0.1510595,0.0000601,821.2,497,9.71E-06,2.43E-10
668.2202,0.6164079,10.39935,0.0028,0.3058351,0.0001002,861.2,497.4,2.20E-05,3.89E-10
813.2703,0.7804222,8.002991,0.0023,0.185035,0.0000741,861.3,496.9,1.50E-05,4.57E-10
870.3209,0.7359929,10.1706,0.002,0.2164626,0.0000721,887.2,497,1.96E-05,4.35E-10
890.1271,0.7900769,7.829926,0.0014,0.161688,0.0000741,887.2,496.9,1.63E-05,3.06E-10
912.1727,0.7501698,63.70397,0.022,1.277726,0.0003206,955.1,497,0.000237363,6.18E-09
911.152,0.7691964,16.27611,0.0049,0.3263714,0.0001102,1023.2,296.6,0.000282711,1.01E-08
907.4519,1.331519,3.18629,0.0017,0.0641873,0.0000751,1023.2,297.7,9.94E-05,7.17E-10
907.4068,1.126284,3.093076,0.0016,0.0622998,0.0000551,1061.6,296.6,0.000136397,4.67E-10
880.322,3.044825,3.897098,0.0053,0.0776698,0.0002405,925.6,497,0.000192916,6.20E-10
570.888,15.97152,0.8393016,0.0046,0.0167246,0.0003507,881.7,997,4.21E-05,5.01E-10
697.4533,6.456555,0.4295441,0.00036,0.0089307,0.0000361,845.9,996.9,3.26E-05,4.22E-10
543.7734,25.71694,0.1504315,0.00041,0.0028402,0.0000261,793.5,997,1.30E-05,4.43E-11
696.4526,34.18193,0.1284623,0.00014,0.0026367,0.0000361,793.7,997,1.38E-05,7.13E-11
876.0318,18.26502,0.1315864,0.00022,0.0028182,0.0000301,882.3,496.9,3.44E-05,9.94E-11
856.5721,15.37561,0.1518575,0.00014,0.003028,0.0000381,882.9,497,4.49E-05,8.17E-11
779.221,12.04882,0.4343794,0.00045,0.008578,0.0000381,982,296.7,0.000408194,1.68E-10
792.0132,18.46163,0.1770015,0.00037,0.0037221,0.0000261,981.6,296.7,inf,1.49E-10
